"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6912,"; mm_512$async_dispatch_0_matmul_512x512x512_bf16xbf16xf32",0,0,0,0,""
2,6912,"s_load_dwordx4 s[8:11], s[4:5], 0x0",0,0,0,0,""
2,6920,"s_load_dwordx2 s[12:13], s[4:5], 0x10",0,0,0,0,""
2,6928,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
2,6932,"s_branch 58",0,0,0,0,""
2,6936,"s_nop 0",0,0,0,0,""
2,6940,"s_nop 0",0,0,0,0,""
2,6944,"s_nop 0",0,0,0,0,""
2,6948,"s_nop 0",0,0,0,0,""
2,6952,"s_nop 0",0,0,0,0,""
2,6956,"s_nop 0",0,0,0,0,""
2,6960,"s_nop 0",0,0,0,0,""
2,6964,"s_nop 0",0,0,0,0,""
2,6968,"s_nop 0",0,0,0,0,""
2,6972,"s_nop 0",0,0,0,0,""
2,6976,"s_nop 0",0,0,0,0,""
2,6980,"s_nop 0",0,0,0,0,""
2,6984,"s_nop 0",0,0,0,0,""
2,6988,"s_nop 0",0,0,0,0,""
2,6992,"s_nop 0",0,0,0,0,""
2,6996,"s_nop 0",0,0,0,0,""
2,7000,"s_nop 0",0,0,0,0,""
2,7004,"s_nop 0",0,0,0,0,""
2,7008,"s_nop 0",0,0,0,0,""
2,7012,"s_nop 0",0,0,0,0,""
2,7016,"s_nop 0",0,0,0,0,""
2,7020,"s_nop 0",0,0,0,0,""
2,7024,"s_nop 0",0,0,0,0,""
2,7028,"s_nop 0",0,0,0,0,""
2,7032,"s_nop 0",0,0,0,0,""
2,7036,"s_nop 0",0,0,0,0,""
2,7040,"s_nop 0",0,0,0,0,""
2,7044,"s_nop 0",0,0,0,0,""
2,7048,"s_nop 0",0,0,0,0,""
2,7052,"s_nop 0",0,0,0,0,""
2,7056,"s_nop 0",0,0,0,0,""
2,7060,"s_nop 0",0,0,0,0,""
2,7064,"s_nop 0",0,0,0,0,""
2,7068,"s_nop 0",0,0,0,0,""
2,7072,"s_nop 0",0,0,0,0,""
2,7076,"s_nop 0",0,0,0,0,""
2,7080,"s_nop 0",0,0,0,0,""
2,7084,"s_nop 0",0,0,0,0,""
2,7088,"s_nop 0",0,0,0,0,""
2,7092,"s_nop 0",0,0,0,0,""
2,7096,"s_nop 0",0,0,0,0,""
2,7100,"s_nop 0",0,0,0,0,""
2,7104,"s_nop 0",0,0,0,0,""
2,7108,"s_nop 0",0,0,0,0,""
2,7112,"s_nop 0",0,0,0,0,""
2,7116,"s_nop 0",0,0,0,0,""
2,7120,"s_nop 0",0,0,0,0,""
2,7124,"s_nop 0",0,0,0,0,""
2,7128,"s_nop 0",0,0,0,0,""
2,7132,"s_nop 0",0,0,0,0,""
2,7136,"s_nop 0",0,0,0,0,""
2,7140,"s_nop 0",0,0,0,0,""
2,7144,"s_nop 0",0,0,0,0,""
2,7148,"s_nop 0",0,0,0,0,""
2,7152,"s_nop 0",0,0,0,0,""
2,7156,"s_nop 0",0,0,0,0,""
2,7160,"s_nop 0",0,0,0,0,""
2,7164,"s_nop 0",0,0,0,0,""
2,7168,"v_lshrrev_b32_e32 v1, 6, v0",46,184,0,5828,""
2,7172,"s_lshl_b32 s1, s14, 2",46,188,0,0,""
2,7176,"v_lshlrev_b32_e32 v5, 4, v1",46,472,288,0,""
2,7180,"s_and_b32 s2, s1, 0x1e0",46,184,0,0,""
2,7188,"v_lshlrev_b32_e32 v9, 9, v1",46,316,124,0,""
2,7192,"v_bfe_u32 v2, v0, 3, 3",46,404,220,0,""
2,7200,"v_or_b32_e32 v6, s2, v5",46,376,192,0,""
2,7204,"v_lshlrev_b32_e32 v8, 2, v0",46,208,24,0,""
2,7208,"v_or_b32_e32 v10, 0x1000, v9",46,224,40,0,""
2,7216,"v_or_b32_e32 v7, v6, v2",46,208,24,0,""
2,7220,"v_and_b32_e32 v8, 28, v8",46,228,44,0,""
2,7224,"v_readfirstlane_b32 s16, v10",46,308,124,0,""
2,7228,"s_mov_b64 s[4:5], s[10:11]",46,184,0,736,""
2,7232,"s_and_b32 s9, s9, 0xffff",46,184,0,0,""
2,7240,"s_mov_b32 s11, 0x27000",46,184,0,0,""
2,7248,"s_mov_b32 s10, 0x80000",46,184,0,0,""
2,7256,"v_lshrrev_b32_e32 v3, 3, v0",46,184,0,0,""
2,7260,"v_lshl_or_b32 v7, v7, 10, v8",46,192,8,0,""
2,7268,"s_mov_b32 m0, s16",46,184,0,0,""
2,7272,"v_or_b32_e32 v3, 8, v3",46,188,4,0,""
2,7276,"s_lshl_b32 s1, s14, 6",46,184,0,0,""
2,7280,"buffer_load_dword v7, s[8:11], 0 offen lds",46,388,204,184,""
2,7288,"v_or_b32_e32 v7, 0x1100, v9",46,188,0,0,""
2,7296,"v_bfe_u32 v4, v0, 1, 5",46,212,12,0,""
2,7304,"v_lshlrev_b32_e32 v16, 5, v1",46,284,100,0,""
2,7308,"s_and_b32 s1, s1, 0x1c0",46,192,0,0,""
2,7316,"v_or_b32_e32 v6, v6, v3",46,236,48,0,""
2,7320,"v_readfirstlane_b32 s3, v7",46,192,8,0,""
2,7324,"v_lshl_or_b32 v6, v6, 10, v8",46,264,76,0,""
2,7332,"s_mov_b32 m0, s3",46,184,0,476,""
2,7336,"v_or3_b32 v4, s1, v4, v16",46,184,0,0,""
2,7344,"v_lshlrev_b32_e32 v19, 10, v1",46,224,40,0,""
2,7348,"buffer_load_dword v6, s[8:11], 0 offen lds",46,184,0,368,""
2,7356,"v_lshlrev_b32_e32 v4, 10, v4",46,184,0,0,""
2,7360,"v_lshlrev_b32_e32 v6, 4, v0",46,184,0,0,""
2,7364,"v_readfirstlane_b32 s3, v19",46,188,4,0,""
2,7368,"s_and_b32 s5, s5, 0xffff",46,184,0,736,""
2,7376,"s_mov_b32 s6, s10",46,184,0,0,""
2,7380,"s_mov_b32 s7, s11",46,184,0,0,""
2,7384,"v_and_or_b32 v6, v6, 16, v4",46,184,0,0,""
2,7392,"s_mov_b32 m0, s3",46,184,0,0,""
2,7396,"v_and_b32_e32 v17, 31, v0",46,200,0,0,""
2,7400,"buffer_load_dwordx4 v6, s[4:7], 0 offen lds",46,188,0,352,""
2,7408,"v_or_b32_e32 v6, v16, v17",46,192,4,0,""
2,7412,"v_bfe_u32 v18, v0, 5, 1",46,212,28,0,""
2,7420,"v_lshlrev_b32_e32 v21, 5, v6",46,188,4,0,""
2,7424,"v_and_b32_e32 v6, 1, v0",46,184,0,0,""
2,7428,"v_or3_b32 v3, v3, s2, v5",46,184,0,0,""
2,7436,"v_and_b32_e32 v0, 7, v0",46,184,0,0,""
2,7440,"v_or3_b32 v2, v2, s2, v5",46,184,0,0,""
2,7448,"v_lshlrev_b32_e32 v3, 10, v3",46,184,0,0,""
2,7452,"v_lshlrev_b32_e32 v0, 2, v0",46,184,0,0,""
2,7456,"v_lshlrev_b32_e32 v2, 10, v2",46,184,0,0,""
2,7460,"v_lshlrev_b32_e32 v1, 3, v18",46,244,60,0,""
2,7464,"v_lshlrev_b32_e32 v6, 4, v6",46,184,0,0,""
2,7468,"v_or3_b32 v23, v3, v0, 32",46,184,0,0,""
2,7476,"v_or3_b32 v25, v2, v0, 32",46,184,0,0,""
